"full_name","serving_state","Associate","Bach","Graduate","Law","Med_Or_PhD"
"Kathy Manning","NC","No Associate's","Harvard University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Katie Elizabeth Britt","AL","No Associate's","University of Alabama","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Katie Porter","CA","No Associate's","Yale University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Kay Granger","TX","No Associate's","Texas Wesleyan University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Keith Alan Self","TX","No Associate's","U.S. Military Academy","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Kelly Armstrong","ND","No Associate's","University of North Dakota","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Ken Buck","CO","No Associate's","Princeton University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Ken Calvert","CA","Associate's Degree","San Diego State University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Kevin Cramer","ND","No Associate's","Concordia College","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Kevin Hern","OK","No Associate's","Arkansas Tech University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Kevin Kiley","CA","No Associate's","Harvard University","Graduate Degree","Law Degree","No Medical Degree or PhD"
"Kevin McCarthy","CA","No Associate's","California State University Bakersfield","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Kevin Mullin","CA","No Associate's","University of San Francisco","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Kim Schrier","WA","No Associate's","University of California, Berkeley","No Graduate Degree","No Law Degree","Medical Degree or PhD"
"Kim Schrier","WA","No Associate's","University of California, Berkeley","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Kimberlyn King-Hinds","MP","No Associate's","Loyola Marymount University","Graduate Degree","Law Degree","No Medical Degree or PhD"
"Kirsten Gillibrand","NY","No Associate's","Dartmouth College","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Kristen McDonald Rivet","MI","No Associate's","Michigan State University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Kweisi Mfume","MD","No Associate's","Morgan State University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"LaMonica McIver","NJ","No Associate's","Bloomfield College","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Lance Gooden","TX","No Associate's","University of Texas","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Laphonza Butler","CA","No Associate's","Jackson State University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Larry Bucshon","IN","No Associate's","University of Illinois Urbana-Champaign","No Graduate Degree","No Law Degree","Medical Degree or PhD"
"Lateefah Simon","CA","No Associate's","Mills College","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Laura Friedman","CA","No Associate's","University of Rochester","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Laura Gillen","NY","No Associate's","Georgetown University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Laurel Lee","FL","No Associate's","University of Florida","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Lauren Boebert","CO","No Associate's","NONE","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Lauren Underwood","IL","No Associate's","University of Michigan","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Linda Sanchez","CA","No Associate's","University of California Berkeley","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Lindsey Graham","SC","No Associate's","University of South Carolina Columbia","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Lisa Blunt Rochester","DE","No Associate's","Farleigh Dickinson University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Lisa McClain","MI","No Associate's","Northwood University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Lisa Murkowski","AK","No Associate's","Georgetown University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Lizzie Fletcher","TX","No Associate's","Kenyon College","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Lloyd Doggett","TX","No Associate's","University of Texas Austin","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Lloyd Smucker","PA","No Associate's","NONE","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Lois Frankel","FL","No Associate's","Boston University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Lori Trahan","MA","No Associate's","Georgetown University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Lou Correa","CA","No Associate's","California State University Fullerton","Graduate Degree","Law Degree","No Medical Degree or PhD"
"Lucia ""Lucy"" McBath","GA","No Associate's","Virginia State University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Luz Rivas","CA","No Associate's","Massachusetts Institute of Technology","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Madeleine Dean","PA","No Associate's","La Salle University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Maggie Goodlander","NH","No Associate's","Yale University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Maggie Hassan","NH","No Associate's","Brown University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Marc Molinaro","NY","Associate's Degree","NONE","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Marc Veasey","TX","No Associate's","Texas Wesleyan University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Marco Rubio","FL","No Associate's","University of Florida","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Marcy Kaptur","OH","No Associate's","University of Wisconsin","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Maria Cantwell","WA","No Associate's","Miami University of Ohio","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Maria Elvira Salazar","FL","No Associate's","University of Miami","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Mariannette Jane Miller-Meeks","IA","No Associate's","Texas Christian University","Graduate Degree","No Law Degree","Medical Degree or PhD"
"Marie Gluesenkamp Perez","WA","No Associate's","Reed College","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Marilyn Strickland","WA","No Associate's","University of Washington","Graduate Degree","No Law Degree","No Medical Degree or PhD"
